Iteration,Best_Fitness,Function
181,2.711914186654293e-28,generalized_power
186,1.0718545961829231e-29,generalized_power
191,1.0703037802028467e-30,generalized_power
196,1.067844417540928e-30,generalized_power
201,1.3508158253024224e-32,generalized_power
206,1.3508158253024224e-32,generalized_power
211,2.2451070828455138e-33,generalized_power
216,1.2232306942560576e-34,generalized_power
221,1.2232294953219903e-34,generalized_power
226,4.095872316410412e-35,generalized_power
231,2.7273691165915523e-36,generalized_power
236,4.166432368710209e-37,generalized_power
241,4.166432368710209e-37,generalized_power
246,4.816305866568317e-38,generalized_power
251,4.773319821740167e-38,generalized_power
256,2.1655962162375796e-38,generalized_power
261,2.8928816432117026e-39,generalized_power
266,2.8928816432117026e-39,generalized_power
271,1.4405720095932072e-39,generalized_power
276,4.0324687396785067e-41,generalized_power
281,4.0324687396785067e-41,generalized_power
286,1.2920852120215392e-42,generalized_power
291,5.782680493386758e-43,generalized_power
296,5.782680493386758e-43,generalized_power
301,3.070708273639052e-44,generalized_power
306,2.480008975062842e-44,generalized_power
311,2.6457184095624225e-45,generalized_power
316,8.041449357568499e-48,generalized_power
321,1.4950401629552467e-48,generalized_power
326,1.4950401629552467e-48,generalized_power
331,1.495040162920494e-48,generalized_power
336,3.591935476453822e-50,generalized_power
341,3.506426324053358e-50,generalized_power
346,1.7313426135521599e-50,generalized_power
351,1.038249821498928e-50,generalized_power
356,5.651139702488425e-51,generalized_power
361,1.42654515539999e-51,generalized_power
366,1.1576453772767127e-51,generalized_power
371,5.142165035706081e-53,generalized_power
376,2.0854324064192606e-54,generalized_power
381,2.0854324064192606e-54,generalized_power
386,2.0854323902472994e-54,generalized_power
391,1.789742418425647e-55,generalized_power
396,1.3490976610473729e-55,generalized_power
401,1.3490976610473729e-55,generalized_power
406,4.253156475360336e-56,generalized_power
411,9.143142870223837e-57,generalized_power
416,9.143136218767593e-57,generalized_power
421,9.143136218767593e-57,generalized_power
426,8.41774333697957e-59,generalized_power
431,4.92096565933632e-59,generalized_power
436,4.92096565933632e-59,generalized_power
441,3.9822131292142383e-59,generalized_power
446,5.252964578914353e-60,generalized_power
451,1.7444661337602227e-60,generalized_power
456,1.7653774053093517e-62,generalized_power
461,7.702741407403088e-63,generalized_power
466,2.0323645386960876e-63,generalized_power
471,7.527807344334659e-65,generalized_power
476,1.5388519243447224e-65,generalized_power
481,1.5388519243447224e-65,generalized_power
486,5.132560873841233e-68,generalized_power
491,2.307469225228081e-68,generalized_power
496,1.458201384845595e-69,generalized_power
501,7.442422569723159e-70,generalized_power
506,4.810672254693399e-70,generalized_power
511,4.133310495728394e-70,generalized_power
516,2.3793156616870673e-70,generalized_power
521,2.3793156616865223e-70,generalized_power
526,6.645132487162122e-71,generalized_power
531,6.645132487162122e-71,generalized_power
